heuristic_id,raw_app_type,cap_core_idea,cap_confidence,cap_parse_ok,cap_parse_error,cap_model,cap_prompt_hash,cap_latency_s,cap_cached
pop_0_op_e1_n0_251224_134701,bin_greedy,"The heuristic is a scoring function for bin packing. It evaluates candidate bins for placing an item by starting with the remaining capacity. It then applies a penalty that increases with the bin's original size to encourage using smaller bins first. Finally, it adjusts the score based on how full each bin is relative to the average, heavily penalizing bins that are already fuller than average to promote a balanced load distribution.",,True,,deepseek-chat,8a7b9b577c3452858ca5f47bbb88c646c1467be4d5f1d77c4fa7708f9b9f6cd0,3.614689588546753,True
pop_0_op_e1_n10_251224_134701,bin_greedy,"The heuristic evaluates candidate placements by combining a primary preference for bins with remaining capacity close to the item size, a penalty for larger bins to encourage balanced utilization, and a stochastic penalty to introduce diversity and avoid deterministic patterns.",,True,,deepseek-chat,19e6c750cfb0b9eb898923973a972ce3d369070d2d6886c3c025796c774e393f,2.659118890762329,False
pop_0_op_e1_n11_251224_134701,bin_greedy,"The heuristic selects a placement for an item by scoring candidate bins based on a combination of two factors: a primary score favoring bins where the item size and the remaining capacity are balanced (using their harmonic mean), and a secondary penalty that increases logarithmically with the estimated number of items already in the bin, discouraging over-packing a single bin.",,True,,deepseek-chat,f559c243bdb0acad0a3b1dee7af3b4a1da7bf4ee8b5e7116e4c1c4abd25ae596,3.1708168983459473,False
pop_0_op_e1_n12_251224_134701,bin_greedy,"The heuristic selects a placement for an item by scoring candidate bins based on a trade-off between two factors: a primary preference for bins with larger remaining capacity after placement, and a secondary penalty that discourages placing items into bins that are already nearly full. The penalty is modulated by a sigmoidal function, making it more sensitive to bins at a specific occupancy threshold.",,True,,deepseek-chat,0dffda822db831d15aea06363f1d28d7201be4f89b671300312ed2f9fea44eb6,3.358858108520508,False
pop_0_op_e1_n13_251224_134701,bin_greedy,"The heuristic evaluates candidate placements by combining a non-linear, saturating function of the remaining capacity after placement (favoring fits that leave a moderate, positive amount of space) with a penalty term that discourages selecting bins with larger initial capacities, thereby promoting a more balanced utilization of resources from the outset.",,True,,deepseek-chat,3591ffc2e4ad568fa64161bb3989a78a51c489e5e38ea58d9d111d0e00cb54ae,3.0935049057006836,False
pop_0_op_e1_n14_251224_134701,bin_greedy,"The heuristic is a multi-criteria scoring function for bin-packing-like problems. It evaluates candidate placements by combining: (1) a primary preference for bins with remaining capacity just above the item size; (2) a penalty for underutilized bins; (3) a strong bonus for bins that would become nearly full; and (4) a diversity-promoting term to encourage varied bin usage. The final score is a weighted sum of these components, and bins already at maximum capacity are excluded from selection.",,True,,deepseek-chat,18996065043c22a33c0099b6fe9840d60b727bf3bcd13c6872ec5319c0f41e55,4.191318035125732,False
pop_0_op_e1_n15_251224_134701,bin_greedy,"The heuristic is a scoring function for bin-packing-like problems. It evaluates candidate placements by combining three criteria: favoring bins with less remaining capacity (to promote fullness), penalizing placements that create high imbalance in remaining capacity across bins (to promote uniformity), and directly rewarding bins that are close to full. The final score is a weighted sum of these factors, aiming to balance efficient space utilization with load distribution.",,True,,deepseek-chat,53273ee701c40cef5c06450d9ad9590d74b67c912a39660e2e0d499e7352f56a,3.4822797775268555,False
pop_0_op_e1_n16_251224_134701,bin_greedy,"The heuristic evaluates candidate placements by combining a reward for high remaining capacity (via a sigmoid function) with a penalty that grows logarithmically with the estimated number of items already in a bin, aiming to balance bin utilization while discouraging over-packing.",,True,,deepseek-chat,4c5e65770525c9ec34bb760711a2ee8a745b0a50a3bf841ca1c7ac19024c9bda,2.460636854171753,False
pop_0_op_e1_n17_251224_134701,bin_greedy,"The heuristic is a scoring function for bin selection that balances multiple objectives: it favors bins with more remaining capacity, penalizes bins with a history of high utilization to promote load balancing, and adds a bonus for bins that contribute to overall usage variability, encouraging a spread of load. It explicitly forbids selecting bins that are already at full capacity.",,True,,deepseek-chat,8713e0b5dc0c8277659062fc6c63c17f7f27a9b5e7dbcb7fb80d217fb23525a2,3.157608985900879,False
pop_0_op_e1_n18_251224_134701,bin_greedy,"The heuristic selects a placement for an item by scoring candidate bins based on a two-factor trade-off. It favors bins where the remaining capacity after placement is moderate, using a sigmoid function to avoid extremes. It simultaneously penalizes bins where the new capacity would be very close to the maximum, using an exponential decay. The final score is a product of these factors, aiming to balance utilization against the risk of overfilling.",,True,,deepseek-chat,b89369fbe6554634265aa49df593f5ea9b2eed1080882b382f85c882d8374f6e,3.7940616607666016,False
