raw_app_type,heuristic_id,repeat_idx,objective,prediction_raw,prediction_clamped,confidence,parse_ok,parse_error,raw_text
puzzle_astar,pop_7_op_m1_n13_251008_085951,0,1.82311,0.8,0.8,0.65,True,,"{
  ""prediction"": 0.8,
  ""confidence"": 0.65
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,1,1.82311,0.8,0.8,0.65,True,,"{
  ""prediction"": 0.8,
  ""confidence"": 0.65
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,2,1.82311,1.35008,1.35008,0.75,True,,"{
  ""prediction"": 1.35008,
  ""confidence"": 0.75
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,3,1.82311,1.35008,1.35008,0.75,True,,"{
  ""prediction"": 1.35008,
  ""confidence"": 0.75
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,4,1.82311,0.8,0.8,0.65,True,,"{
  ""prediction"": 0.8,
  ""confidence"": 0.65
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,5,1.82311,0.9,0.9,0.7,True,,"{
  ""prediction"": 0.9,
  ""confidence"": 0.7
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,6,1.82311,0.8,0.8,0.7,True,,"{
  ""prediction"": 0.8,
  ""confidence"": 0.7
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,7,1.82311,0.8,0.8,0.75,True,,"{
  ""prediction"": 0.8,
  ""confidence"": 0.75
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,8,1.82311,0.8,0.8,0.65,True,,"{
  ""prediction"": 0.8,
  ""confidence"": 0.65
}"
puzzle_astar,pop_7_op_m1_n13_251008_085951,9,1.82311,1.35008,1.35008,0.75,True,,"{
    ""prediction"": 1.35008,
    ""confidence"": 0.75
}"
puzzle_astar,pop_16_op_e2_n17_251006_000601,0,2.5337,1.903635,1.903635,0.65,True,,"```json
{
""prediction"": 1.903635,
""confidence"": 0.65
}
```"
puzzle_astar,pop_16_op_e2_n17_251006_000601,1,2.5337,1.35008,1.35008,0.75,True,,"{
    ""prediction"": 1.35008,
    ""confidence"": 0.75
}"
puzzle_astar,pop_16_op_e2_n17_251006_000601,2,2.5337,1.903635,1.903635,0.75,True,,"{
    ""prediction"": 1.903635,
    ""confidence"": 0.75
}"
puzzle_astar,pop_16_op_e2_n17_251006_000601,3,2.5337,1.903635,1.903635,0.75,True,,"```json
{
""prediction"": 1.903635,
""confidence"": 0.75
}
```"
puzzle_astar,pop_16_op_e2_n17_251006_000601,4,2.5337,1.903635,1.903635,0.75,True,,"```json
{
""prediction"": 1.903635,
""confidence"": 0.75
}
```"
puzzle_astar,pop_16_op_e2_n17_251006_000601,5,2.5337,1.903635,1.903635,0.75,True,,"{
    ""prediction"": 1.903635,
    ""confidence"": 0.75
}"
puzzle_astar,pop_16_op_e2_n17_251006_000601,6,2.5337,1.903635,1.903635,0.65,True,,"```json
{
""prediction"": 1.903635,
""confidence"": 0.65
}
```"
puzzle_astar,pop_16_op_e2_n17_251006_000601,7,2.5337,1.8,1.8,0.65,True,,"{
    ""prediction"": 1.8,
    ""confidence"": 0.65
}"
puzzle_astar,pop_16_op_e2_n17_251006_000601,8,2.5337,1.75,1.75,0.65,True,,"{
  ""prediction"": 1.75,
  ""confidence"": 0.65
}"
puzzle_astar,pop_16_op_e2_n17_251006_000601,9,2.5337,1.903635,1.903635,0.72,True,,"```json
{
""prediction"": 1.903635,
""confidence"": 0.72
}
```"
puzzle_astar,pop_4_op_e1_n12_251005_013931,0,1.33556,1.35035,1.35035,0.95,True,,"```json
{
""prediction"": 1.35035,
""confidence"": 0.95
}
```"
puzzle_astar,pop_4_op_e1_n12_251005_013931,1,1.33556,1.35035,1.35035,0.95,True,,"```json
{
""prediction"": 1.35035,
""confidence"": 0.95
}
```"
puzzle_astar,pop_4_op_e1_n12_251005_013931,2,1.33556,0.903875,0.903875,0.85,True,,"{
  ""prediction"": 0.903875,
  ""confidence"": 0.85
}"
puzzle_astar,pop_4_op_e1_n12_251005_013931,3,1.33556,1.35035,1.35035,0.95,True,,"```json
{
""prediction"": 1.35035,
""confidence"": 0.95
}
```"
puzzle_astar,pop_4_op_e1_n12_251005_013931,4,1.33556,0.9039,0.9039,0.85,True,,"{
  ""prediction"": 0.9039,
  ""confidence"": 0.85
}"
puzzle_astar,pop_4_op_e1_n12_251005_013931,5,1.33556,1.35035,1.35035,0.95,True,,"```json
{
""prediction"": 1.35035,
""confidence"": 0.95
}
```"
puzzle_astar,pop_4_op_e1_n12_251005_013931,6,1.33556,0.903875,0.903875,0.85,True,,"{
  ""prediction"": 0.903875,
  ""confidence"": 0.85
}"
puzzle_astar,pop_4_op_e1_n12_251005_013931,7,1.33556,0.903875,0.903875,0.85,True,,"{
  ""prediction"": 0.903875,
  ""confidence"": 0.85
}"
puzzle_astar,pop_4_op_e1_n12_251005_013931,8,1.33556,0.903875,0.903875,0.85,True,,"{
  ""prediction"": 0.903875,
  ""confidence"": 0.85
}"
puzzle_astar,pop_4_op_e1_n12_251005_013931,9,1.33556,0.903875,0.903875,0.85,True,,"{
  ""prediction"": 0.903875,
  ""confidence"": 0.85
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,0,2.5337,1.903635,1.903635,0.75,True,,"{
    ""prediction"": 1.903635,
    ""confidence"": 0.75
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,1,2.5337,1.903635,1.903635,0.75,True,,"{
    ""prediction"": 1.903635,
    ""confidence"": 0.75
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,2,2.5337,1.903635,1.903635,0.7,True,,"{
  ""prediction"": 1.903635,
  ""confidence"": 0.7
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,3,2.5337,1.903635,1.903635,0.65,True,,"{
  ""prediction"": 1.903635,
  ""confidence"": 0.65
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,4,2.5337,1.903635,1.903635,0.75,True,,"{
  ""prediction"": 1.903635,
  ""confidence"": 0.75
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,5,2.5337,1.903635,1.903635,0.65,True,,"{
  ""prediction"": 1.903635,
  ""confidence"": 0.65
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,6,2.5337,1.903635,1.903635,0.7,True,,"{
  ""prediction"": 1.903635,
  ""confidence"": 0.7
}"
puzzle_astar,pop_6_op_e2_n12_251008_063903,7,2.5337,1.903635,1.903635,0.75,True,,"{
  ""prediction"": 1.903635,
  ""confidence"": 0.75
}"
